Word,SentenceID
across,t.04.07
space,t.04.07
via,t.04.07
radio,t.04.07
signals,t.04.07
radio,t.04.08
signals,t.04.08
travel,t.04.08
through,t.04.08
space,t.04.08
like,t.04.08
sound,t.04.08
waves,t.04.08
through,t.04.08
a,t.04.08
canyon,t.04.08
imagine,t.04.09
you,t.04.09
and,t.04.09
your,t.04.09
friend,t.04.09
are,t.04.09
at,t.04.09
different,t.04.09
sides,t.04.09
of,t.04.09
a,t.04.09
canyon,t.04.09
you,t.04.10
shout,t.04.10
to,t.04.10
your,t.04.10
friend,t.04.10
and,t.04.10
she,t.04.10
hears,t.04.10
you,t.04.10
after,t.04.10
a,t.04.10
short,t.04.10
delay,t.04.10
this,t.04.11
delay,t.04.11
is,t.04.11
the,t.04.11
time,t.04.11
that,t.04.11
sound,t.04.11
waves,t.04.11
need,t.04.11
to,t.04.11
reach,t.04.11
the,t.04.11
other,t.04.11
side,t.04.11
similarly,t.04.12
the,t.04.12
satellite,t.04.12
in,t.04.12
space,t.04.12
sends,t.04.12
a,t.04.12
radio,t.04.12
signal,t.04.12
at,t.04.12
one,t.04.12
time,t.04.12
after,t.04.13
a,t.04.13
delay,t.04.13
the,t.04.13
radio,t.04.13
signal,t.04.13
arrives,t.04.13
at,t.04.13
the,t.04.13
gps,t.04.13
receiver,t.04.13
on,t.04.13
earth,t.04.13
the,t.04.14
receiver,t.04.14
records,t.04.14
the,t.04.14
precise,t.04.14
time,t.04.14
when,t.04.14
the,t.04.14
radio,t.04.14
signal,t.04.14
arrives,t.04.14
it,t.04.15
then,t.04.15
calculates,t.04.15
the,t.04.15
difference,t.04.15
between,t.04.15
these,t.04.15
two,t.04.15
times,t.04.15
this,t.04.16
time,t.04.16
difference,t.04.16
is,t.04.16
the,t.04.16
travel,t.04.16
time,t.04.16
of,t.04.16
the,t.04.16
radio,t.04.16
signal,t.04.16
the,t.04.17
gps,t.04.17
uses,t.04.17
this,t.04.17
travel,t.04.17
time,t.04.17
to,t.04.17
figure,t.04.17
out,t.04.17
how,t.04.17
far,t.04.17
the,t.04.17
satellite,t.04.17
is,t.04.17
it,t.04.18
uses,t.04.18
the,t.04.18
formula,t.04.18
distance,t.04.18
,t.04.18
time,t.04.18
t,t.04.18
x,t.04.18
rate,t.04.18
of,t.04.18
transmission,t.04.18
c,t.04.18
t,t.04.19
is,t.04.19
the,t.04.19
travel,t.04.19
time,t.04.19
of,t.04.19
the,t.04.19
radio,t.04.19
signal,t.04.19
c,t.04.20
is,t.04.20
the,t.04.20
speed,t.04.20
of,t.04.20
light,t.04.20
more,t.04.20
than,t.04.20
186000,t.04.20
miles,t.04.20
per,t.04.20
second,t.04.20
t,t.04.21
x,t.04.21
c,t.04.21
calculates,t.04.21
the,t.04.21
distance,t.04.21
between,t.04.21
the,t.04.21
receiver,t.04.21
and,t.04.21
each,t.04.21
satellite,t.04.21
different,t.04.22
satellites,t.04.22
have,t.04.22
different,t.04.22
distances,t.04.22
from,t.04.22
the,t.04.22
receiver,t.04.22
this,t.04.23
information,t.04.23
helps,t.04.23
the,t.04.23
receiver,t.04.23
determine,t.04.23
its,t.04.23
location,t.04.23
on,t.04.23
earth,t.04.23
the,t.04.24
precise,t.04.24
location,t.04.24
is,t.04.24
calculated,t.04.24
based,t.04.24
on,t.04.24
geometry,t.04.24
of,t.04.24
distances,t.04.24
a,t.04.25
gps,t.04.25
device,t.04.25
that,t.04.25
you,t.04.25
carry,t.04.25
in,t.04.25
your,t.04.25
car,t.04.25
is,t.04.25
a,t.04.25
small,t.04.25
receiver,t.04.25
radio,t.04.26
signals,t.04.26
from,t.04.26
the,t.04.26
satellites,t.04.26
are,t.04.26
updated,t.04.26
as,t.04.26
the,t.04.26
device,t.04.26
moves,t.04.26
at,t.04.27
least,t.04.27
4,t.04.27
satellites,t.04.27
are,t.04.27
involved,t.04.27
to,t.04.27
pinpoint,t.04.27
the,t.04.27
device,t.04.27
location,t.04.27
gps,t.04.28
devices,t.04.28
provide,t.04.28
maps,t.04.28
and,t.04.28
directions,t.04.28
that,t.04.28
help,t.04.28
people,t.04.28
travel,t.04.28
engineers,t.05.01
design,t.05.01
electrical,t.05.01
circuits,t.05.01
to,t.05.01
power,t.05.01
homes,t.05.01
and,t.05.01
buildings,t.05.01
electrical,t.05.02
circuits,t.05.02
are,t.05.02
closed,t.05.02
paths,t.05.02
that,t.05.02
electricity,t.05.02
flows,t.05.02
through,t.05.02
this,t.05.03
means,t.05.03
that,t.05.03
the,t.05.03
entire,t.05.03
path,t.05.03
must,t.05.03
be,t.05.03
connected,t.05.03
like,t.05.03
a,t.05.03
loop,t.05.03
imagine,t.05.04
a,t.05.04
simple,t.05.04
circuit,t.05.04
made,t.05.04
with,t.05.04
a,t.05.04
battery,t.05.04
and,t.05.04
a,t.05.04
piece,t.05.04
of,t.05.04
wire,t.05.04
now,t.05.05
connect,t.05.05
each,t.05.05
end,t.05.05
of,t.05.05
the,t.05.05
wire,t.05.05
to,t.05.05
different,t.05.05
ends,t.05.05
of,t.05.05
the,t.05.05
battery,t.05.05
your,t.05.06
piece,t.05.06
of,t.05.06
wire,t.05.06
and,t.05.06
battery,t.05.06
now,t.05.06
make,t.05.06
a,t.05.06
circle,t.05.06
or,t.05.06
circular,t.05.06
path,t.05.06
one,t.05.07
end,t.05.07
of,t.05.07
the,t.05.07
battery,t.05.07
is,t.05.07
positive,t.05.07
and,t.05.07
the,t.05.07
other,t.05.07
end,t.05.07
negative,t.05.07
electrons,t.05.08
will,t.05.08
flow,t.05.08
across,t.05.08
this,t.05.08
circuit,t.05.08
through,t.05.08
the,t.05.08
wire,t.05.08
you,t.05.09
have,t.05.09
just,t.05.09
created,t.05.09
a,t.05.09
simple,t.05.09
electrical,t.05.09
circuit,t.05.09
removing,t.05.10
the,t.05.10
wire,t.05.10
from,t.05.10
the,t.05.10
battery,t.05.10
will,t.05.10
stop,t.05.10
the,t.05.10
flow,t.05.10
of,t.05.10
electrons,t.05.10
now,t.05.11
imagine,t.05.11
that,t.05.11
you,t.05.11
want,t.05.11
to,t.05.11
connect,t.05.11
the,t.05.11
battery,t.05.11
to,t.05.11
a,t.05.11
lightbulb,t.05.11
first,t.05.12
the,t.05.12
wire,t.05.12
is,t.05.12
cut,t.05.12
in,t.05.12
the,t.05.12
middle,t.05.12
and,t.05.12
breaks,t.05.12
the,t.05.12
circuit,t.05.12
then,t.05.13
a,t.05.13
lightbulb,t.05.13
is,t.05.13
inserted,t.05.13
to,t.05.13
reconnect,t.05.13
the,t.05.13
circuit,t.05.13
the,t.05.14
electrical,t.05.14
circuit,t.05.14
is,t.05.14
complete,t.05.14
again,t.05.14
and,t.05.14
electrons,t.05.14
are,t.05.14
flowing,t.05.14
electricity,t.05.15
now,t.05.15
flows,t.05.15
through,t.05.15
the,t.05.15
lightbulb,t.05.15
lighting,t.05.15
it,t.05.15
up,t.05.15
if,t.05.16
the,t.05.16
circuit,t.05.16
is,t.05.16
now,t.05.16
broken,t.05.16
the,t.05.16
lightbulb,t.05.16
will,t.05.16
go,t.05.16
out,t.05.16
you,t.05.17
can,t.05.17
also,t.05.17
add,t.05.17
a,t.05.17
switch,t.05.17
in,t.05.17
the,t.05.17
circuit,t.05.17
to,t.05.17
break,t.05.17
it,t.05.17
or,t.05.17
connect,t.05.17
it,t.05.17
this,t.05.18
allows,t.05.18
you,t.05.18
to,t.05.18
turn,t.05.18
on,t.05.18
or,t.05.18
turn,t.05.18
off,t.05.18
the,t.05.18
lightbulb,t.05.18
a,t.05.19
simple,t.05.19
electrical,t.05.19
circuit,t.05.19
contains,t.05.19
several,t.05.19
parts,t.05.19
these,t.05.20
include,t.05.20
a,t.05.20
source,t.05.20
a,t.05.20
path,t.05.20
and,t.05.20
a,t.05.20
resistor,t.05.20
the,t.05.21
source,t.05.21
provides,t.05.21
the,t.05.21
energy,t.05.21
to,t.05.21
an,t.05.21
electrical,t.05.21
circuit,t.05.21
in,t.05.22
our,t.05.22
example,t.05.22
above,t.05.22
the,t.05.22
source,t.05.22
is,t.05.22
the,t.05.22
battery,t.05.22
batteries,t.05.23
can,t.05.23
differ,t.05.23
in,t.05.23
voltage,t.05.23
the,t.05.23
electric,t.05.23
potential,t.05.23
or,t.05.23
force,t.05.23
the,t.05.24
path,t.05.24
is,t.05.24
the,t.05.24
closed,t.05.24
loop,t.05.24
with,t.05.24
wires,t.05.24
that,t.05.24
connect,t.05.24
to,t.05.24
the,t.05.24
source,t.05.24
electrons,t.05.25
flow,t.05.25
through,t.05.25
the,t.05.25
path,t.05.25
as,t.05.25
electric,t.05.25
currents,t.05.25
electric,t.05.26
currents,t.05.26
increase,t.05.26
with,t.05.26
increased,t.05.26
voltage,t.05.26
the,t.05.27
resistor,t.05.27
is,t.05.27
any,t.05.27
device,t.05.27
that,t.05.27
reduces,t.05.27
the,t.05.27
electric,t.05.27
current,t.05.27
it,t.05.28
creates,t.05.28
resistance,t.05.28
or,t.05.28
impedance,t.05.28
in,t.05.28
the,t.05.28
electrical,t.05.28
circuit,t.05.28
in,t.05.29
our,t.05.29
example,t.05.29
above,t.05.29
the,t.05.29
resistor,t.05.29
is,t.05.29
the,t.05.29
lightbulb,t.05.29
electric,t.05.30
currents,t.05.30
decrease,t.05.30
with,t.05.30
increased,t.05.30
resistance,t.05.30
